hasOldNr,Signature
AF 20,SGV_12N_00520
AF 21,SGV_12N_00521
AF 22,SGV_12N_00522
AF 23,SGV_12N_00523
AF 24,SGV_12N_00524
AF 25,SGV_12N_00525
AF 26,SGV_12N_00526
AF 27,SGV_12N_00527
AF 28,SGV_12N_00528
AF 29,SGV_12N_00529
AF 30,SGV_12N_00530
AF 31,SGV_12N_00531
AF 32,SGV_12N_00532
AF 33,SGV_12N_00533
AF 34,SGV_12N_00534
AF 35,SGV_12N_00535
AF 36,SGV_12N_00536
AF 37,SGV_12N_00537
AF 38,SGV_12N_00538
AF 39,SGV_12N_00539
AF 40,SGV_12N_00540
AF 41,SGV_12N_00541
AF 42,SGV_12N_00542
AF 43,SGV_12N_00543
AF 44,SGV_12N_00544
AF 45,SGV_12N_00545
AF 46,SGV_12N_00546
AF 47,SGV_12N_00547
AF 48,SGV_12N_00548
AF 49,SGV_12N_00549
AF 50,SGV_12N_00550
AF 51,SGV_12N_00551
AF 52,SGV_12N_00552
AF 53,SGV_12N_00553
AF 54,SGV_12N_00554
AF 55,SGV_12N_00555
AF 56,SGV_12N_00556
AF 57,SGV_12N_00557
AF 58,SGV_12N_00558
AF 59,SGV_12N_00559
AF 60,SGV_12N_00560
AF 61,SGV_12N_00561
AF 62,SGV_12N_00562
AF 63,SGV_12N_00563
AF 64,SGV_12N_00564
AF 65,SGV_12N_00565
AF 66,SGV_12N_00566
AF 67,SGV_12N_00567
AF 68,SGV_12N_00568
AF 69,SGV_12N_00569
AF 70,SGV_12N_00570
AF 71,SGV_12N_00571
AF 72,SGV_12N_00572
AF 73,SGV_12N_00573
AF 74,SGV_12N_00574
AF 75,SGV_12N_00575
AF 76,SGV_12N_00576
AF 77,SGV_12N_00577
AF 78,SGV_12N_00578
AF 79,SGV_12N_00579
AF 80,SGV_12N_00580
AF 81,SGV_12N_00581
AF 82,SGV_12N_00582
AF 83,SGV_12N_00583
AF 84,SGV_12N_00584
AF 85,SGV_12N_00585
AF 86,SGV_12N_00586
AF 87,SGV_12N_00587
AF 88,SGV_12N_00588
AF 89,SGV_12N_00589
AF 90,SGV_12N_00590
AF 91,SGV_12N_00591
AF 92,SGV_12N_00592
AF 93,SGV_12N_00593
AF 94,SGV_12N_00594
AF 95,SGV_12N_00595
AF 96,SGV_12N_00596
AF 97,SGV_12N_00597
AF 98,SGV_12N_00598
AF 99,SGV_12N_00599
AF 100,SGV_12N_00600
AG 1,SGV_12N_00601
AG 2,SGV_12N_00602
AG 3,SGV_12N_00603
AG 4,SGV_12N_00604
AG 5,SGV_12N_00605
AG 6,SGV_12N_00606
AG 7,SGV_12N_00607
AG 8,SGV_12N_00608
AG 9,SGV_12N_00609
AG 10,SGV_12N_00610
AG 11,SGV_12N_00611
AG 12,SGV_12N_00612
AG 13,SGV_12N_00613
AG 14,SGV_12N_00614
AG 15,SGV_12N_00615
AG 16,SGV_12N_00616
AG 17,SGV_12N_00617
AG 18,SGV_12N_00618
AG 19,SGV_12N_00619
AG 20,SGV_12N_00620
AG 21,SGV_12N_00621
AG 22,SGV_12N_00622
AG 23,SGV_12N_00623
AG 24,SGV_12N_00624
AG 25,SGV_12N_00625
AG 26,SGV_12N_00626
AG 27,SGV_12N_00627
AG 28,SGV_12N_00628
AG 29,SGV_12N_00629
AG 30,SGV_12N_00630
AG 31,SGV_12N_00631
AG 32,SGV_12N_00632
AG 33,SGV_12N_00633
AG 34,SGV_12N_00634
AG 35,SGV_12N_00635
AG 36,SGV_12N_00636
AG 37,SGV_12N_00637
AG 38,SGV_12N_00638
AG 39,SGV_12N_00639
AG 40,SGV_12N_00640
AG 41,SGV_12N_00641
AG 42,SGV_12N_00642
AG 43,SGV_12N_00643
AG 44,SGV_12N_00644
AG 45,SGV_12N_00645
AG 46,SGV_12N_00646
AG 47,SGV_12N_00647
AG 48,SGV_12N_00648
AG 49,SGV_12N_00649
AG 50,SGV_12N_00650
AG 51,SGV_12N_00651
AG 52,SGV_12N_00652
AG 53,SGV_12N_00653
AG 54,SGV_12N_00654
AG 55,SGV_12N_00655
AG 56,SGV_12N_00656
AG 57,SGV_12N_00657
AG 58,SGV_12N_00658
AG 59,SGV_12N_00659
AG 60,SGV_12N_00660
AG 61,SGV_12N_00661
AG 62,SGV_12N_00662
AG 63,SGV_12N_00663
AG 64,SGV_12N_00664
AG 65,SGV_12N_00665
AG 66,SGV_12N_00666
AG 67,SGV_12N_00667
AG 68,SGV_12N_00668
AG 69,SGV_12N_00669
AG 70,SGV_12N_00670
AG 71,SGV_12N_00671
AG 72,SGV_12N_00672
AG 73,SGV_12N_00673
AG 74,SGV_12N_00674
AG 75,SGV_12N_00675
AG 76,SGV_12N_00676
AG 77,SGV_12N_00677
AG 78,SGV_12N_00678
AG 79,SGV_12N_00679
AG 80,SGV_12N_00680
AG 81,SGV_12N_00681
AG 82,SGV_12N_00682
AG 83,SGV_12N_00683
AG 84,SGV_12N_00684
AG 85,SGV_12N_00685
AG 86,SGV_12N_00686
AG 87,SGV_12N_00687
AG 88,SGV_12N_00688
AG 89,SGV_12N_00689
AG 90,SGV_12N_00690
AG 91,SGV_12N_00691
AG 92,SGV_12N_00692
AG 93,SGV_12N_00693
AG 94,SGV_12N_00694
AG 95,SGV_12N_00695
AG 96,SGV_12N_00696
AG 97,SGV_12N_00697
AG 98,SGV_12N_00698
AG 99,SGV_12N_00699
AG 100,SGV_12N_00700
AH 1,SGV_12N_00701
AH 2,SGV_12N_00702
AH 3,SGV_12N_00703
AH 4,SGV_12N_00704
AH 5,SGV_12N_00705
AH 6,SGV_12N_00706
AH 7,SGV_12N_00707
AH 8,SGV_12N_00708
AH 9,SGV_12N_00709
AH 10,SGV_12N_00710
AH 11,SGV_12N_00711
AH 12,SGV_12N_00712
AH 13,SGV_12N_00713
AH 14,SGV_12N_00714
AH 15,SGV_12N_00715
AH 16,SGV_12N_00716
AH 17,SGV_12N_00717
AH 18,SGV_12N_00718
AH 19,SGV_12N_00719
AH 20,SGV_12N_00720
AH 21,SGV_12N_00721
AH 22,SGV_12N_00722
AH 23,SGV_12N_00723
AH 24,SGV_12N_00724
AH 25,SGV_12N_00725
AH 26,SGV_12N_00726
AH 27,SGV_12N_00727
AH 28,SGV_12N_00728
AH 29,SGV_12N_00729
AH 30,SGV_12N_00730
AH 31,SGV_12N_00731
AH 32,SGV_12N_00732
AH 33,SGV_12N_00733
AH 34,SGV_12N_00734
AH 35,SGV_12N_00735
AH 36,SGV_12N_00736
AH 37,SGV_12N_00737
AH 38,SGV_12N_00738
AH 39,SGV_12N_00739
AH 40,SGV_12N_00740
AH 41,SGV_12N_00741
AH 42,SGV_12N_00742
AH 43,SGV_12N_00743
AH 44,SGV_12N_00744
AH 45,SGV_12N_00745
AH 46,SGV_12N_00746
AH 47,SGV_12N_00747
AH 48,SGV_12N_00748
AH 49,SGV_12N_00749
AH 50,SGV_12N_00750
AH 51,SGV_12N_00751
AH 52,SGV_12N_00752
AH 53,SGV_12N_00753
AH 54,SGV_12N_00754
AH 55,SGV_12N_00755
AH 56,SGV_12N_00756
AH 57,SGV_12N_00757
AH 58,SGV_12N_00758
AH 59,SGV_12N_00759
AH 60,SGV_12N_00760
AH 61,SGV_12N_00761
AH 62,SGV_12N_00762
AH 63,SGV_12N_00763
AH 64,SGV_12N_00764
AH 65,SGV_12N_00765
AH 66,SGV_12N_00766
AH 67,SGV_12N_00767
AH 68,SGV_12N_00768
AH 69,SGV_12N_00769
AH 70,SGV_12N_00770
AH 71,SGV_12N_00771
AH 72,SGV_12N_00772
AH 73,SGV_12N_00773
AH 74,SGV_12N_00774
AH 75,SGV_12N_00775
AH 76,SGV_12N_00776
AH 77,SGV_12N_00777
AH 78,SGV_12N_00778
AH 79,SGV_12N_00779
AH 80,SGV_12N_00780
AH 81,SGV_12N_00781
AH 82,SGV_12N_00782
AH 83,SGV_12N_00783
AH 84,SGV_12N_00784
AH 85,SGV_12N_00785
AH 86,SGV_12N_00786
AH 87,SGV_12N_00787
AH 88,SGV_12N_00788
AH 89,SGV_12N_00789
AH 90,SGV_12N_00790
AH 91,SGV_12N_00791
AH 92,SGV_12N_00792
AH 93,SGV_12N_00793
AH 94,SGV_12N_00794
AH 95,SGV_12N_00795
AH 96,SGV_12N_00796
AH 97,SGV_12N_00797
AH 98,SGV_12N_00798
AH 99,SGV_12N_00799
AH 100,SGV_12N_00800
AJ 1,SGV_12N_00801
AJ 2,SGV_12N_00802
AJ 3,SGV_12N_00803
AJ 4,SGV_12N_00804
AJ 5,SGV_12N_00805
AJ 6,SGV_12N_00806
AJ 7,SGV_12N_00807
AJ 8,SGV_12N_00808
AJ 9,SGV_12N_00809
AJ 10,SGV_12N_00810
AJ 11,SGV_12N_00811
AJ 12,SGV_12N_00812
AJ 13,SGV_12N_00813
AJ 14,SGV_12N_00814
AJ 15,SGV_12N_00815
AJ 16,SGV_12N_00816
AJ 17,SGV_12N_00817
AJ 18,SGV_12N_00818
AJ 19,SGV_12N_00819
AJ 20,SGV_12N_00820
AJ 21,SGV_12N_00821
AJ 22,SGV_12N_00822
AJ 23,SGV_12N_00823
AJ 24,SGV_12N_00824
AJ 25,SGV_12N_00825
AJ 26,SGV_12N_00826
AJ 27,SGV_12N_00827
AJ 28,SGV_12N_00828
AJ 29,SGV_12N_00829
AJ 30,SGV_12N_00830
AJ 31,SGV_12N_00831
AJ 32,SGV_12N_00832
AJ 33,SGV_12N_00833
AJ 34,SGV_12N_00834
AJ 35,SGV_12N_00835
AJ 36,SGV_12N_00836
AJ 37,SGV_12N_00837
AJ 38,SGV_12N_00838
AJ 39,SGV_12N_00839
AJ 40,SGV_12N_00840
AJ 41,SGV_12N_00841
AJ 42,SGV_12N_00842
AJ 43,SGV_12N_00843
AJ 44,SGV_12N_00844
AJ 45,SGV_12N_00845
AJ 46,SGV_12N_00846
AJ 47,SGV_12N_00847
AJ 48,SGV_12N_00848
AJ 49,SGV_12N_00849
AJ 50,SGV_12N_00850
AJ 51,SGV_12N_00851
AJ 52,SGV_12N_00852
AJ 53,SGV_12N_00853
AJ 54,SGV_12N_00854
AJ 55,SGV_12N_00855
AJ 56,SGV_12N_00856
AJ 57,SGV_12N_00857
AJ 58,SGV_12N_00858
AJ 59,SGV_12N_00859
AJ 60,SGV_12N_00860
AJ 61,SGV_12N_00861
AJ 62,SGV_12N_00862
AJ 63,SGV_12N_00863
AJ 64,SGV_12N_00864
AJ 65,SGV_12N_00865
AJ 66,SGV_12N_00866
AJ 67,SGV_12N_00867
AJ 68,SGV_12N_00868
AJ 69,SGV_12N_00869
AJ 70,SGV_12N_00870
AJ 71,SGV_12N_00871
AJ 72,SGV_12N_00872
AJ 73,SGV_12N_00873
AJ 74,SGV_12N_00874
AJ 75,SGV_12N_00875
AJ 76,SGV_12N_00876
AJ 77,SGV_12N_00877
AJ 78,SGV_12N_00878
AJ 79,SGV_12N_00879
AJ 80,SGV_12N_00880
AJ 81,SGV_12N_00881
AJ 82,SGV_12N_00882
AJ 83,SGV_12N_00883
AJ 84,SGV_12N_00884
AJ 85,SGV_12N_00885
AJ 86,SGV_12N_00886
AJ 87,SGV_12N_00887
AJ 88,SGV_12N_00888
AJ 89,SGV_12N_00889
AJ 90,SGV_12N_00890
AJ 91,SGV_12N_00891
AJ 92,SGV_12N_00892
AJ 93,SGV_12N_00893
AJ 94,SGV_12N_00894
AJ 95,SGV_12N_00895
AJ 96,SGV_12N_00896
AJ 97,SGV_12N_00897
AJ 98,SGV_12N_00898
AJ 99,SGV_12N_00899
AJ 100,SGV_12N_00900
AK 1,SGV_12N_00901
AK 2,SGV_12N_00902
AK 3,SGV_12N_00903
AK 4,SGV_12N_00904
AK 5,SGV_12N_00905
AK 6,SGV_12N_00906
AK 7,SGV_12N_00907
AK 8,SGV_12N_00908
AK 9,SGV_12N_00909
AK 10,SGV_12N_00910
AK 11,SGV_12N_00911
AK 12,SGV_12N_00912
AK 13,SGV_12N_00913
AK 14,SGV_12N_00914
AK 15,SGV_12N_00915
AK 16,SGV_12N_00916
AK 17,SGV_12N_00917
AK 18,SGV_12N_00918
AK 19,SGV_12N_00919
AK 20,SGV_12N_00920
AK 21,SGV_12N_00921
AK 22,SGV_12N_00922
AK 23,SGV_12N_00923
AK 24,SGV_12N_00924
AK 25,SGV_12N_00925
