id,label,birthplace_old,date,daterange_0,daterange_1,deathplace_old,description_rt,family,geoname,gnid,job,job_0,job_1,job_2,job_3,job_4,lat,literature,literature_0,literature_1,literature_10,literature_11,literature_12,literature_13,literature_14,literature_15,literature_16,literature_17,literature_18,literature_19,literature_2,literature_20,literature_21,literature_22,literature_23,literature_24,literature_25,literature_26,literature_27,literature_28,literature_29,literature_3,literature_4,literature_5,literature_6,literature_7,literature_8,literature_9,lng,name,name_0,name_1,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,salsah_comment,salsah_comment_0,salsah_comment_1,salsah_comment_10,salsah_comment_11,salsah_comment_12,salsah_comment_13,salsah_comment_14,salsah_comment_15,salsah_comment_16,salsah_comment_17,salsah_comment_18,salsah_comment_19,salsah_comment_2,salsah_comment_20,salsah_comment_3,salsah_comment_4,salsah_comment_5,salsah_comment_6,salsah_comment_7,salsah_comment_8,salsah_comment_9
2134964,"Haab, Herr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haab, Herr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519556,Gasser,,,,,,<p>Unternehmer in der Automobilbranche aus Bern</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592216,Freudweiler,,,,,,"<p>Die Person wird in Zusammenhang mit der Teilsammlung <a class=""salsah-link"" href=""IRI:340411:IRI"">Brockmann-Jerosch </a>erwähnt.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freudweiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140345,"Socin, August",,1899-01-22,,,,,,Basel,http://sws.geonames.org/2661604,,,,,,,46.46299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84345,,"Socin, August","Socin, August Prof. Dr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175328,Abid al-Ahmad ad-Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abid al-Ahmad ad-Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141578,"Stark, Hans",,,,,,<p>Oral History Projekt Anton Röösli (SGV_16): </p><p>Anton Röösli erzählte (08.09.2016): Hans Stark sei eine Reiseteilnehmer auf der Fernostreise des katholischen Reisedienstes Viatours (Luzern) im Jahr 1976 gewesen. Er sei ​Katholischer Pfarrer in Röschenz gewesen.</p><p>Aufgrund der Persönlichkeitsrechte Fotografien nur auf Anfrage.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stark, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530992,"Seemann, Ernst Arthur",,1904,,,,<p>Gründer des E.A. Seemann Verlages in Leipzig.</p>,,Saxony,http://sws.geonames.org/2842566,,,,,,,51,Wikipedia: https://de.wikipedia.org/wiki/E._A._Seemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25,"Seemann, Ernst Arthur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635042,"Alder, Trudy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alder, Trudy",Trudy Alder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635041,"Aeschbacher, Alice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aeschbacher, Alice",Alice Aeschbacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624018,"Durigo, Ilona",,1943-12-25,,,,<p>Ilona Durigo war eine ungarische Altistin und Gesangspädagogin. Sie unterrichtete von 1921 bis 1937 am Zürcher Konservatorium (Siehe https://de.wikipedia.org/wiki/Ilona_Durigo; Stand: 09.01.2017).</p>,,Budapest,http://sws.geonames.org/3054643,,,,,,,47.49801,https://de.wikipedia.org/wiki/Ilona_Durigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.03991,"Durigo, Ilona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531027,Berner Oberländer Verkehrsverein,,,,,,,,Switzerland,http://sws.geonames.org/2658434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berner Oberländer Verkehrsverein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493707,"Taugwalder, Peter",,1888-07-11,,,,<p>Peter Taugwalder (1820-1888) war ein Schweizer Bergsteiger und Bergführer aus Zermatt.</p>,,Zermatt,http://sws.geonames.org/2657928,,,,,,,46.02126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.74912,"Taugwalder, Peter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135403,"Manderveld, Frau",,,,,,"<p>Frau von <a class=""salsah-link"" href=""IRI:2135401:IRI"">W. Manderveld</a>. Wohnaft an der <span gaga={}>18, Avenue Richard Neyberg in Brüssel.</span</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manderveld, Frau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135401,"Manderveld, W",,,,,,"<p>Mann von <a class=""salsah-link"" href=""IRI:2135403:IRI"">Frau Manderveld</a>. Wohnaft an der 18, Avenue Richard Neyberg in Brüssel.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manderveld, W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622211,"Mittelholzer, Walter",,1937-05-09,,,,"<p>""Walter Mittelholzer eignete sich das fotografische Handwerk autodidaktisch an und trat während des Ersten Weltkriegs als Fotograf in die von Oskar Bider geleitete Militärpilotenschule ein. 1917 erwarb er das zivile Flugbrevet. 1919 gründete er gemeinsam mit seinem Fluglehrer Alfred Comte die Aero-Gesellschaft Comte Mittelholzer & Co., die 1920 in der Ad Astra Aero AG aufging. Später gründete Walter Mittelholzer die Ad Astra Photo AG. Nach der Fusion der Ad Astra Aero AG und der Balair zur Swissair, wurde diese in Swissair Photo AG umbenannt. Walter Mittelholzer war ab 1924 zudem Teilhaber der Praesens Film AG. Seine Expeditionsflüge, auf denen er fotografierte und Filme drehte, waren Medienereignisse. Er publizierte zahlreiche, in mehrere Sprachen übersetzte Bücher über diese Flüge, so z.B. «Afrikaflug» (über die erste Nord-Süd-Traversierung Afrikas, 1927), «Alpenflug» (1928) oder «Kilimandjaro-Flug» (über die erste Gipfelüberfliegung, 1930). In der 1931 gegründeten Swissair wurde Walter Mittelholzer erster Flugkapitän und Direktor. 1937 kam er bei einem Kletterunfall in der Steiermark ums Leben."" (<a href=""https://de.foto-ch.ch/#/home#detail=20624&type=photographer"">fotoCH</a>)</p>",,Styria,http://sws.geonames.org/2764581,,,,,,,47.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.16667,"Mittelholzer, Walter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662067,"Brunel, Ludovico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brunel, Ludovico",Ludovico Brunel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506228,Familie Tschopp [SGV_12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Familie Tschopp [SGV_12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506057,Verkehrshaus der Schweiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkehrshaus der Schweiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662074,"Link, Ph.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Link, Ph.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662080,"Abel & Graf, Zürich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abel & Graf, Zürich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231909,"Karrer, Uta",,,,,,<p>Mitarbeiterende im Fotoprojekt. Sie beschäftigt sich mit den zeitgenössischen Fotosammlungen und Oral History.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Karrer, Uta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231913,"Peduzzi, Dr. Nicole",,,,,,<p>Leiterin des Fotoprojektes</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peduzzi, Dr. Nicole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224161,Atba,,,,,,<p>1. Frau von Musa ad-Dash</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455942,Familie Buchmann [SGV_12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Familie Buchmann [SGV_12],Familie Buchmann,Buchmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694778,"von Tscharner, Claire ",,,,,,<p>Lausanner Sportlerin</p><p>Fachberichterstatterin</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"von Tscharner, Claire ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694801,"Stampfli, Walther",,1965-10-11,,,,<p>1931 bis 1940 im Nationalrat</p><p>1940 bis 1947 im Bundesrat</p><p>1944 Bundespräsident</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stampfli, Walther",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694798,"Bovet, George",,1946-05-20,,,,<p>Georg Bovet war von 1934 bis 1943 Bundeskanzler der Schweiz.</p>,,Lausanne,http://sws.geonames.org/2659994,,,,,,,46.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.63282,"Bovet, George",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455418,Société de Jeunesse de Champsec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Société de Jeunesse de Champsec,Jugendverband von Champsec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624982,"Röösli, Anton",,1935-08-12,,,,"<p>Anton Röösli war 1970 bis 1985 Generalsekretär des Schweizerischen Katholischen Volksvereins (SKVV) sowie Geschäftsführer des SKVV eigenen Reiseanbieters Viatours. Zwischen 1971 und 1983 begleitete er Reisen zu Missionsstationen weltweit als technischer Reiseleiter. Auf diesen Reisen nahm er die Diapositive und Fotografien der Sammlung <a class=""salsah-link"" href=""IRI:625539:IRI"">Röösli</a> auf. </p><p>Vor seiner Tätigkeit bei der SKVV 1956 bis 1960 studierte Anton Röösli in Zürich Geschichte, Musikgeschichte und Kunstgeschichte. 1960 bis 1963 war er Redakteur bei der Roschacher Zeitung. 1964 bis 1965 war er Informationsbeauftragter bei IBM. 1965 bis 1970 arbeitete er im Bereich der Public Relations.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Röösli, Anton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138853,"Schröter, Prof. D. C. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schröter, Prof. D. C. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2651006,"Allenbach-Scheidegger, Albert",,,,,,,,,,Briefträger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allenbach-Scheidegger, Albert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140770,"Seifenmeister, Heiner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seifenmeister, Heiner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137920,"Halter-Kreis, Ida",,,,,,,,Lucerne,http://sws.geonames.org/2659811,,,,,,,47.05048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.30635,,"Halter-Kreis, Ida","Halter, Ida","Kreis, Ida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141666,"Tschudin, Hauptmann",,,,,,<p>Hauptmann Tschudin war Brigade-Adjudant in der Schweizer Armee.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tschudin, Hauptmann",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141664,Abegglen (Familie),,,,,,"<p>Familie Abegglen aus Iseltwald, BE.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abegglen (Familie),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2553004,"Sidler, Josepha",,,,,,"<p>Frau Josepha Sidler, Ehegattin des Ratsherr Gottfried Fassbind geb. 1777, gest. 1857.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sidler, Josepha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135387,"Von der Mühll, Rudolf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Von der Mühll, Rudolf","Von der Mühll-Erhardt, Rudolf","Von der Mühll-Ehrhardt, Rudolf","Vondermühll, Rudolf","Vondermühll-Erhardt, Rudolf",,,,,,,,,,,,,,,,,,,,,,,,,,,
2139004,Dietlen [Mann],,,,,,"<p>Herr Dietlen war an Bauprojekten von <a class=""salsah-link"" href=""IRI:367451:IRI"">Heinrich Surbeck</a> beteiligt.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dietlen [Mann],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624204,"Füglistaller-Sprenger, Jeannette",,,,,,"<p>Jeannette Füglistaller-Sprenger war die Ehepartnerin von <a class=""salsah-link"" href=""IRI:611312:IRI"">Bernhard Füglistaller Senior</a> und die Mutter von <a class=""salsah-link"" href=""IRI:492890:IRI"">Paula Kreis-Füglistaller</a>, <a class=""salsah-link"" href=""IRI:624768:IRI"">Bernhard Füglistaller Junior</a> und <a class=""salsah-link"" href=""IRI:624214:IRI"">Carl Füglistaller</a>.  Die Familie Jeannette und Bernhard Füglistaller ist mit ihren Kindern auf <a class=""salsah-link"" href=""IRI:478739:IRI"">SGV_10P_05231</a> im Garten ihres Hauses abgebildet.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Füglistaller-Sprenger, Jeannette","Sprenger, Jeannette","Füglistaller, Jeannette",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624007,"Katzigheras-Strasser, Elly",,1976-01-19,,,,"<p>Elly Katzigheras-Strasser war eine Pianistin und Konzertsängerin, die am Kannenfeldplatz 7 in Basel wohnte. (Siehe <a href=""https://www.swissbib.ch/Record/004260791"">swissbib</a>)</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Katzigheras-Strasser, Elly","Katzigheras, Elly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138888,Ehemann von Jeannette Kreis,,,,,,"<p>Es handelt sich um den Ehemann von <a class=""salsah-link"" href=""IRI:493662:IRI"">Jeannette Kreis</a>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ehemann von Jeannette Kreis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2139008,"Heemert, Herr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heemert, Herr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140927,"Tenz, Pieder",,,,,,<p>Wohnte auf Hof Browaschg bei Lumbrein.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tenz, Pieder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171500,"Bruegger, Johann",,,,,,<p>Johann Bruegger war wohnhaft in den Spissen bei Frutigen im Engstligental.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bruegger, Johann",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140904,"Zehnder, Edith",,,,,,<p>Oral History Projekt Anton Röösli (SGV_16): </p><p>Anton Röösli erzählte (08.11.2016): Edith Zehnder sei Reiseteilnehmerin auf der Indonesienreise des katholischen Reisedienstes Viatours (Luzern) im Jahr 1979 gewesen.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zehnder, Edith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635330,"Sauterel, Marthe",,1996,,,,<p>mariée Singy</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sauterel, Marthe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135393,"Ulbrich, Ernst",,,,,,<p>Ernst Ulbrich lebte in Zürich.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ulbrich, Ernst","Ulbrich, Dr. Ernst",,,,,,,,,"Absenderadresse: Dr. E. Ulbrich, Dahliastr. 1, Zürich 8",,,,,,,,,,,,,,,,,,,,,
2139006,"Heemert, Frau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heemert, Frau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635078,"Coray, Silvia",,,,,,<p>Tochter von Arthur und Alice Coray-Ernst</p>,Coray,Kreuzlingen,http://sws.geonames.org/2660108,Ärztin,,,,,,47.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18333,,"Coray, Silvia",Silvia Coray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140968,"Liechti, Alfred",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Liechti, Alfred",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126653,"Hunziker-Züst, Julie Elise",,1921,,,,"<p>Julie Elise Züst von Lutzenberg war die Tochter des Arztes Dr. Johann Züst-Fehr, der in Andelfingen eine ärztliche Praxis hatte. Sie heiratete 1866 Guido Ulrich Hunziker. Die beiden hatten vier Kinder, darunter <a class=""salsah-link"" href=""IRI:694860:IRI"">Julius Hermann Hunziker</a> (Ehemann von Rosa Hunziker-Frey). Julie Elise lebte zeitweise auf dem Schloss Liebegg in Gränichen AG.</p>",,,,,,,,,,,"Oehler, Robert: Die Hunziker von Aarau. Familiengeschichte eines alten Aarauer Geschlechts. Aarau, 1962. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hunziker-Züst, Julie Elise","Züst, Julie Elise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135779,"Krahe, Lenchen",,,,,,"<p>Lenchen Krahe traf <a class=""salsah-link"" href=""IRI:492888:IRI"">Oscar Kreis</a> 1955 auf dem Piz Languard. Ihre Adresse lautete: Lenchen Krahe, Bochum-Linden · Hattingerstr. 729.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahe, Lenchen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138952,"Mörikofer, Andres",,,,,,"<p>Sohn von <a class=""salsah-link"" href=""IRI:579355:IRI"">Elsbeth Mörikofer-Kreis</a>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mörikofer, Andres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624958,"Beaumont, Cyril William",,1976-05-24,,,,"<a href=""https://en.wikipedia.org/wiki/Cyril_W._Beaumont""><p>Cyril W. Beaumont</p></a><p> war ein britischer Tanzhistoriker, Übersetzer, Schriftsteller und Verleger.</p>",,London,http://sws.geonames.org/2643743,,,,,,,51.50853,"Beaumont, Cyril W.: The History of Harlequin. London: Beaumont, 1926.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12574,"Beaumont, Cyril William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631113,"Mörker, Marie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mörker, Marie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337249,Le Moulin de Vaulion,,1970,,,,"<a href=""http://www.salsah.org/api/resources/337255""><p>Louis Develey</p></a><p> war der Inhaber und Müller der Moulin de Vaulion. Die Familie Develey und die Mühle wurden in der Sammlung <a href=""http://www.salsah.org/api/resources/336009"">Altes und sterbendes Handwerk</a> im Projekt mit der Nummer <a href=""http://www.salsah.org/api/resources/2141295"">AH 29</a> portraitiert.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Moulin de Vaulion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337170,"Siegen, Anna",,,,,,"<span gaga={}><p>Anna Siegen lebte in Ried (Lötschental). Sie liess sich von <a class=""salsah-link"" href=""IRI:337169:IRI"">Karl Kalbermatten</a> für das Filmprojekt mit der Nummer <a class=""salsah-link"" href=""IRI:2428967:IRI"">AH 30</a> (Sammlung <a class=""salsah-link"" href=""IRI:336009:IRI"">Altes und sterbendes Handwerk</a>) ein Paar Arbeitsschuhe anfertigen.</p></span<p></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Siegen, Anna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
